# TASK-REM 修复后 npx vitest run --coverage 输出尾部(H-3 门禁:NFR-005 新增模块清单口径)
# 执行时间:2026-08-30  exit code: 0(无 threshold ERROR)

 % Coverage report from v8
-------------------|---------|----------|---------|---------|-------------------
File               | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
-------------------|---------|----------|---------|---------|-------------------
All files          |   96.47 |    85.48 |     100 |   97.93 |                   
 ...(site)/account |     100 |    92.85 |     100 |     100 |                   
  logic.ts         |     100 |    92.85 |     100 |     100 | 54                
 ...ction/favorite |     100 |      100 |     100 |     100 |                   
  route.ts         |     100 |      100 |     100 |     100 |                   
 server/content    |   98.61 |    92.85 |     100 |     100 |                   
  llms.ts          |     100 |      100 |     100 |     100 |                   
  product.ts       |   97.43 |       90 |     100 |     100 | 92-93,132         
 server/notify     |   96.82 |       85 |     100 |   96.42 |                   
  template.ts      |   96.82 |       85 |     100 |   96.42 | 147,156           
 server/ugc        |   92.98 |    72.97 |     100 |   95.74 |                   
  favorite.ts      |   92.98 |    72.97 |     100 |   95.74 | 72,178            
 server/user       |   94.44 |    82.35 |     100 |     100 |                   
  profile.ts       |   94.44 |    82.35 |     100 |     100 | 61-64             
-------------------|---------|----------|---------|---------|-------------------

Test Files  19 passed (19) / Tests  110 passed (110)
